epoch,meta_learning_rate,standalone_learning_rate,meta_train_bce,meta_val_bce,meta_train_accuracy,meta_val_accuracy,standalone_train_active_bin_ce,standalone_val_active_bin_ce,standalone_train_accuracy,standalone_val_accuracy
1,0.002,0.002,1.146621835231781,0.7219732403755188,0.2,0.2,1.6354389667510987,1.5908631086349487,0.1875,0.2
2,0.004,0.004,0.6217595219612122,0.6045206785202026,0.2,0.2,1.6353331565856934,1.5922150611877441,0.2,0.2
3,0.006,0.006,0.5791715860366822,0.532167911529541,0.2,0.2,1.6027929306030273,1.594084620475769,0.2,0.2
4,0.008,0.008,0.5408053398132324,0.5403861999511719,0.2,0.2,1.600896167755127,1.5957577228546143,0.2125,0.2
5,0.01,0.01,0.5418490529060364,0.5241870880126953,0.2,0.2,1.6061587572097777,1.5942038297653198,0.2,0.2
6,0.01,0.01,0.5273934602737427,0.5223942995071411,0.2125,0.3,1.5875406742095948,1.5437225103378296,0.2,0.2
7,0.01,0.01,0.515295934677124,0.5089341402053833,0.2125,0.2,1.5569819211959839,1.4248831272125244,0.2875,0.4
8,0.01,0.01,0.5151985049247741,0.5147926211357117,0.2,0.2,1.5128372669219972,1.3920550346374512,0.3,0.4
9,0.01,0.01,0.5072730362415314,0.5014179944992065,0.225,0.3,1.4643483877182006,1.4151629209518433,0.3625,0.3
10,0.01,0.01,0.5041089236736298,0.4970790147781372,0.3,0.4,1.379832911491394,1.435595989227295,0.4,0.3
11,0.01,0.01,0.5007254481315613,0.4970362186431885,0.275,0.6,1.3289567947387695,1.2211601734161377,0.3875,0.4
12,0.01,0.01,0.4983642876148224,0.49715274572372437,0.275,0.2,1.215806531906128,1.210447907447815,0.425,0.3
13,0.01,0.01,0.49742019176483154,0.4953824579715729,0.25,0.5,1.257159948348999,1.1935304403305054,0.4,0.4
14,0.01,0.01,0.4962871253490448,0.49459192156791687,0.2375,0.3,1.2578181266784667,1.4375882148742676,0.3875,0.2
15,0.01,0.01,0.49539158344268797,0.4935797154903412,0.25,0.3,1.3461461782455444,1.4050235748291016,0.3875,0.3
16,0.01,0.01,0.49468511939048765,0.49112430214881897,0.3,0.4,1.3604092359542848,1.3156535625457764,0.375,0.2
17,0.01,0.01,0.493081146478653,0.49002963304519653,0.3125,0.5,1.2877275943756104,1.0794627666473389,0.4,0.7
18,0.01,0.01,0.49191458225250245,0.4886183738708496,0.375,0.7,1.1973686456680297,1.198636770248413,0.425,0.4
19,0.01,0.01,0.4886537194252014,0.4842205345630646,0.475,0.6,1.1598750114440919,1.059878945350647,0.475,0.6
20,0.01,0.01,0.4868764102458954,0.4865162968635559,0.525,0.7,1.080661940574646,0.9516994953155518,0.5,0.5
21,0.01,0.01,0.4847563147544861,0.4792177975177765,0.5625,0.5,1.1864529848098755,1.3160966634750366,0.475,0.4
22,0.01,0.01,0.4840576708316803,0.47835031151771545,0.6,0.6,1.2301487684249879,0.9985629916191101,0.425,0.5
23,0.01,0.01,0.4788152277469635,0.46947982907295227,0.55,0.7,1.0999043345451356,1.0294313430786133,0.475,0.4
24,0.01,0.01,0.46664527654647825,0.4575537145137787,0.625,0.5,1.1146137475967408,1.0329116582870483,0.425,0.5
25,0.01,0.01,0.4649006187915802,0.46607592701911926,0.5375,0.5,1.0344425559043884,1.2655643224716187,0.4875,0.4
26,0.005,0.005,0.4788190543651581,0.4751286208629608,0.525,0.6,1.2444989442825318,0.9934008717536926,0.4375,0.7
27,0.005,0.005,0.4643345892429352,0.4493701457977295,0.525,0.6,1.0362265586853028,0.9695647358894348,0.575,0.7
28,0.005,0.005,0.45256270170211793,0.4431423842906952,0.6,0.7,0.9727206468582154,0.8901268243789673,0.6125,0.7
29,0.005,0.005,0.4451803684234619,0.4382038712501526,0.6125,0.6,0.9248793721199036,0.8517782092094421,0.5875,0.5
30,0.005,0.005,0.43849038481712344,0.44079121947288513,0.5625,0.6,0.8331098079681396,0.815056562423706,0.6625,0.5
31,0.005,0.005,0.44156145453453066,0.4688018560409546,0.5,0.5,0.836154329776764,0.909417450428009,0.65,0.5
32,0.005,0.005,0.4700950086116791,0.45377475023269653,0.4125,0.4,0.9958451986312866,0.8541210889816284,0.55,0.6
33,0.005,0.005,0.44349421858787536,0.4386770725250244,0.5125,0.6,0.9329748153686523,1.1317543983459473,0.575,0.4
34,0.005,0.005,0.4336803138256073,0.42500990629196167,0.5625,0.6,1.0886547803878783,1.1839884519577026,0.5125,0.6
35,0.005,0.005,0.42558669447898867,0.4258001148700714,0.55,0.6,0.8612350106239319,0.83244389295578,0.6375,0.5
36,0.005,0.005,0.42293530106544497,0.41700172424316406,0.5625,0.6,0.8343379616737365,1.2489713430404663,0.65,0.4
37,0.005,0.005,0.41754851341247556,0.4084652364253998,0.575,0.6,0.8673000812530518,0.9089882969856262,0.5875,0.5
38,0.005,0.005,0.41689802408218385,0.41622260212898254,0.5625,0.6,0.7774252414703369,1.0005605220794678,0.675,0.5
39,0.005,0.005,0.4171999990940094,0.40371936559677124,0.5625,0.6,0.9773969173431396,0.8515706062316895,0.625,0.7
40,0.005,0.005,0.4163214087486267,0.39712947607040405,0.5625,0.6,0.763203752040863,1.192725658416748,0.7375,0.5
