epoch,train_task_bce,validation_task_bce,train_accuracy,validation_accuracy
1,1.146621835231781,0.7219732403755188,0.2,0.2
2,0.6217595219612122,0.6045206785202026,0.2,0.2
3,0.5791715860366822,0.532167911529541,0.2,0.2
4,0.5408053398132324,0.5403861999511719,0.2,0.2
5,0.5418490529060364,0.5241870880126953,0.2,0.2
6,0.5273934602737427,0.5223942995071411,0.2125,0.3
7,0.515295934677124,0.5089341402053833,0.2125,0.2
8,0.5151985049247741,0.5147926211357117,0.2,0.2
9,0.5072730362415314,0.5014179944992065,0.225,0.3
10,0.5041089236736298,0.4970790147781372,0.3,0.4
11,0.5007254481315613,0.4970362186431885,0.275,0.6
12,0.4983642876148224,0.49715274572372437,0.275,0.2
13,0.49742019176483154,0.4953824579715729,0.25,0.5
14,0.4962871253490448,0.49459192156791687,0.2375,0.3
15,0.49539158344268797,0.4935797154903412,0.25,0.3
16,0.49468511939048765,0.49112430214881897,0.3,0.4
17,0.493081146478653,0.49002963304519653,0.3125,0.5
18,0.49191458225250245,0.4886183738708496,0.375,0.7
19,0.4886537194252014,0.4842205345630646,0.475,0.6
20,0.4868764102458954,0.4865162968635559,0.525,0.7
21,0.4847563147544861,0.4792177975177765,0.5625,0.5
22,0.4840576708316803,0.47835031151771545,0.6,0.6
23,0.4788152277469635,0.46947982907295227,0.55,0.7
24,0.46664527654647825,0.4575537145137787,0.625,0.5
25,0.4649006187915802,0.46607592701911926,0.5375,0.5
26,0.4788190543651581,0.4751286208629608,0.525,0.6
27,0.4643345892429352,0.4493701457977295,0.525,0.6
28,0.45256270170211793,0.4431423842906952,0.6,0.7
29,0.4451803684234619,0.4382038712501526,0.6125,0.6
30,0.43849038481712344,0.44079121947288513,0.5625,0.6
31,0.44156145453453066,0.4688018560409546,0.5,0.5
32,0.4700950086116791,0.45377475023269653,0.4125,0.4
33,0.44349421858787536,0.4386770725250244,0.5125,0.6
34,0.4336803138256073,0.42500990629196167,0.5625,0.6
35,0.42558669447898867,0.4258001148700714,0.55,0.6
36,0.42293530106544497,0.41700172424316406,0.5625,0.6
37,0.41754851341247556,0.4084652364253998,0.575,0.6
38,0.41689802408218385,0.41622260212898254,0.5625,0.6
39,0.4171999990940094,0.40371936559677124,0.5625,0.6
40,0.4163214087486267,0.39712947607040405,0.5625,0.6
41,0.4032962918281555,0.39111053943634033,0.575,0.6
42,0.3937946856021881,0.3804005980491638,0.5625,0.6
43,0.38666718602180483,0.3822004795074463,0.5625,0.6
44,0.3931491732597351,0.3916381597518921,0.5625,0.6
45,0.3901917040348053,0.3801071345806122,0.575,0.6
46,0.384622323513031,0.37244755029678345,0.55,0.6
47,0.37484241724014283,0.36921176314353943,0.5875,0.6
48,0.3710839867591858,0.3570764660835266,0.7125,0.6
49,0.3689646780490875,0.34952184557914734,0.7125,0.8
50,0.36020821928977964,0.3493362069129944,0.7875,0.8
51,0.35355883836746216,0.34438174962997437,0.8625,1.0
52,0.34790646433830263,0.344832181930542,0.8375,0.8
53,0.3545706570148468,0.3652506172657013,0.7875,0.8
54,0.36885119080543516,0.3651929199695587,0.7625,0.8
55,0.3709471940994263,0.366128534078598,0.8,1.0
56,0.35718401074409484,0.3452351987361908,0.9,0.9
57,0.3613804042339325,0.39499667286872864,0.8,0.8
58,0.3994281947612762,0.4178810119628906,0.8125,0.8
